code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
35230;POILLEY;35420;;POILLEY;48.465975825,-1.256588671
35232;PRINCE;35210;;PRINCE;48.237551571,-1.105855416
35235;RANNEE;35130;;RANNEE;47.901406469,-1.200196605
35236;REDON;35600;;REDON;47.661216252,-2.08016417
35237;RENAC;35660;;RENAC;47.72782278,-1.966755244
35243;ROMAGNE;35133;;ROMAGNE;48.344541228,-1.262508701
35255;ST BENOIT DES ONDES;35114;;ST BENOIT DES ONDES;48.613513629,-1.861052615
35257;MAEN ROCH;35460;ST ETIENNE EN COGLES;MAEN ROCH;48.400636918,-1.345728525
35264;ST DIDIER;35220;;ST DIDIER;48.093265123,-1.357952517
35268;ST GANTON;35550;;ST GANTON;47.769824505,-1.891042743
35274;ST GERMAIN SUR ILLE;35250;;ST GERMAIN SUR ILLE;48.250459681,-1.652029662
35278;ST GREGOIRE;35760;;ST GREGOIRE;48.158493729,-1.685337689
35280;ST HILAIRE DES LANDES;35140;;ST HILAIRE DES LANDES;48.338312694,-1.366574834
35281;ST JACQUES DE LA LANDE;35136;;ST JACQUES DE LA LANDE;48.076118615,-1.722558013
35282;RIVES DU COUESNON;35140;ST JEAN SUR COUESNON;RIVES DU COUESNON;48.284927722,-1.345743452
35285;ST JUST;35550;;ST JUST;47.764436292,-1.969131549
35288;ST MALO;35400;PARAME;ST MALO;48.640048719,-1.980865007
35288;ST MALO;35400;ROTHENEUF;ST MALO;48.640048719,-1.980865007
35288;ST MALO;35400;ST SERVAN SUR MER;ST MALO;48.640048719,-1.980865007
35291;ST MARCAN;35120;;ST MARCAN;48.585259427,-1.628052573
35294;STE MARIE;35600;;STE MARIE;47.693519577,-2.013587106
35296;ST MEDARD SUR ILLE;35250;;ST MEDARD SUR ILLE;48.272995224,-1.670924977
35297;ST MEEN LE GRAND;35290;;ST MEEN LE GRAND;48.192349808,-2.194995104
35305;ST PERAN;35380;;ST PERAN;48.056820978,-2.06452705
35306;ST PERE MARC EN POULET;35430;;ST PERE MARC EN POULET;48.584126939,-1.929247306
35308;MESNIL ROC H;35720;ST PIERRE DE PLESGUEN;MESNIL ROC H;48.45801406,-1.8778414
35308;MESNIL ROC H;35720;TRESSE;MESNIL ROC H;48.45801406,-1.8778414
35315;ST SULPICE LA FORET;35250;;ST SULPICE LA FORET;48.212407534,-1.575873462
35316;ST SULPICE DES LANDES;35390;;ST SULPICE DES LANDES;47.776961884,-1.625721618
35320;ST UNIAC;35360;;ST UNIAC;48.166999305,-2.032799831
35326;SENS DE BRETAGNE;35490;;SENS DE BRETAGNE;48.336389627,-1.554034633
35335;THOURIE;35134;;THOURIE;47.848548707,-1.458039729
35346;TRIMER;35190;;TRIMER;48.344757088,-1.897228289
